"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2004-1-2","86.92","86.79","87.13","86.50","","0.00%"
"2004-1-5","86.07","86.43","86.69","85.98","","-0.98%"
"2004-1-6","85.63","86.05","86.11","85.37","","-0.51%"
"2004-1-7","86.20","85.86","86.27","85.73","","0.67%"
"2004-1-8","85.57","86.24","86.64","85.45","","-0.73%"
"2004-1-9","85.11","85.51","85.94","84.97","","-0.54%"
"2004-1-12","85.55","85.12","85.57","84.80","","0.52%"
"2004-1-13","85.51","85.61","85.72","85.27","","-0.05%"
"2004-1-14","86.03","85.33","86.16","85.32","","0.61%"
"2004-1-15","86.56","86.09","86.63","86.02","","0.62%"
"2004-1-16","87.73","86.46","87.87","86.40","","1.35%"
"2004-1-19","87.66","87.65","88.07","87.46","","-0.08%"
"2004-1-20","86.71","87.41","88.01","86.53","","-1.08%"
"2004-1-21","86.36","86.60","86.80","86.08","","-0.40%"
"2004-1-22","85.82","86.23","86.31","85.61","","-0.63%"
"2004-1-23","86.56","85.77","86.77","85.48","","0.86%"
"2004-1-26","87.25","86.73","87.29","86.39","","0.80%"
"2004-1-27","86.28","87.14","87.40","86.16","","-1.11%"
"2004-1-28","86.97","86.28","87.26","86.22","","0.80%"
"2004-1-29","87.58","87.39","87.82","86.90","","0.70%"
"2004-1-30","87.20","87.53","87.86","87.07","","-0.43%"
"2004-2-2","87.53","87.14","87.67","87.09","","0.38%"
"2004-2-3","86.79","87.40","87.50","86.48","","-0.85%"
"2004-2-4","86.84","86.79","87.10","86.70","","0.06%"
"2004-2-5","86.90","86.84","86.94","86.30","","0.07%"
"2004-2-6","86.02","86.75","87.09","85.84","","-1.01%"
"2004-2-9","86.00","86.26","86.37","85.62","","-0.02%"
"2004-2-10","85.84","85.98","86.01","85.42","","-0.19%"
"2004-2-11","85.20","85.97","86.13","85.09","","-0.75%"
"2004-2-12","85.29","85.09","85.34","85.01","","0.11%"
"2004-2-13","85.56","85.17","85.69","84.74","","0.32%"
"2004-2-16","85.47","85.53","85.63","85.39","","-0.11%"
"2004-2-17","85.02","85.11","85.48","84.80","","-0.53%"
"2004-2-18","85.88","84.91","86.01","84.56","","1.01%"
"2004-2-19","85.95","85.73","86.24","85.69","","0.08%"
"2004-2-20","87.24","85.64","87.41","85.59","","1.50%"
"2004-2-23","87.04","87.20","87.61","86.72","","-0.23%"
"2004-2-24","86.14","86.84","87.13","85.99","","-1.03%"
"2004-2-25","87.25","86.21","87.34","86.01","","1.29%"
"2004-2-26","87.68","87.23","87.99","87.11","","0.49%"
"2004-2-27","87.31","87.63","88.02","87.23","","-0.42%"
"2004-3-1","87.52","87.10","87.62","87.03","","0.24%"
"2004-3-2","88.83","87.50","89.06","87.43","","1.50%"
"2004-3-3","89.03","89.00","89.84","88.90","","0.23%"
"2004-3-4","89.14","89.08","89.44","88.78","","0.12%"
"2004-3-5","88.18","89.12","89.27","87.76","","-1.08%"
"2004-3-8","88.00","88.21","88.38","87.88","","-0.20%"
"2004-3-9","88.29","87.81","88.65","87.60","","0.33%"
"2004-3-10","88.95","88.52","89.23","88.31","","0.75%"
