date,label,type,category,narrative,gold_usd,tips_real_rate,fed_rate,cpi_yoy,gold_mom_pct,spx,oil_wti,gold_3m_before_pct,gold_3m_after_pct
Sep-08,雷曼兄弟破产,shock,金融危机,全球金融体系濒临崩溃，市场流动性危机导致黄金被迫抛售，随后避险需求推动金价大涨。这是'先跌后涨'的经典案例：恐慌性抛售一切资产换现金，黄金也不例外，但3个月后强势反弹。,738,1.85,1.81,4.95,-4.76,1166.36,104.11,-14,0.6
May-10,欧债危机爆发（希腊）,shock,地缘政治,希腊宣布债务违约风险，欧元区存续受质疑，资金大规模流出欧元资产涌入黄金，推动金价突破1200美元/盎司关口。,1157.7,1.307,0.2,2,4.08,1089.41,73.74,10.9,1.6
Aug-11,美国主权信用评级下调,shock,金融危机,标普将美国AAA评级下调至AA+，引发全球信任危机。当月金价上涨约9%，随后两个月继续上涨，9月到达1921美元的历史高点。这是'避险资产'逻辑最强的一次验证。,1608.19,0.135,0.1,3.75,8.77,1218.89,86.33,9.8,3.6
Mar-14,克里米亚危机,shock,战争冲突,俄罗斯出兵克里米亚，金价短暂上涨约8%，但随后回落。这是一个重要'反例'：地缘冲突本身并不能持续推动金价——3个月后金价下跌3%，因为真实利率并未实质性下降。,1282.54,0.556,0.08,1.61,3.38,1872.34,100.8,8.3,-3.2
Jun-16,英国脱欧公投,shock,地缘政治,公投结果意外'脱欧'，黄金单日暴涨约5%（英镑同日暴跌10%），随后3个月持续上涨8%。典型的政治不确定性触发避险。,1206.02,0.174,0.38,1.08,0.51,2098.86,48.76,-0.2,8
Mar-20,新冠疫情冲击,shock,危机,全球经济骤停，金价先随大盘暴跌6%（流动性危机），随后美联储紧急降息至零，金价随即开始长达5个月的上涨，至2020年8月突破2000美元。,1451.5,-0.117,0.65,1.49,-6.2,2584.59,29.21,-0.2,15.1
Feb-22,俄乌战争爆发,shock,战争冲突,战争爆发后金价仅小幅上涨，3个月后回到原位。原因：美联储同期启动激进加息，真实利率快速攀升，对冲了战争的避险溢价。这再次证明真实利率比战争更重要。,1788.39,-0.524,0.08,7.94,0.48,4373.94,91.64,1.7,-0.1
Oct-23,以哈冲突爆发,shock,战争冲突,冲突爆发后金价短暂下跌约2%（市场认为局部冲突），随后3个月上涨超10%。但这波上涨主因是市场开始预期美联储降息，而非战争本身。,1810.1,2.412,5.33,3.25,-1.96,4193.8,85.64,-4.9,10.6
Jan-25,特朗普关税战升级,shock,地缘政治,美国对多国加征关税，全球贸易战担忧升温，美元信用受质疑，黄金在2025年成为最强资产，3个月内上涨超13%，突破3000美元关口。,2614.6,2.229,4.33,2.99,1.2,6040.53,75.74,0.4,13.1
Nov-04,GLD黄金ETF上市,structural,市场结构,全球最大黄金ETF（GLD）在纽交所上市，普通投资者无需购买实物黄金即可投资。这彻底改变了黄金市场的参与结构，散户资金大规模入场，黄金流动性大幅提升，是此后金价长牛的结构性基础。,450.88,1.676,1.93,,5.22,1173.82,48.47,10,-3.4
Mar-09,QE1正式启动,structural,货币政策,美联储宣布购买1.75万亿美元资产，开创现代量化宽松先例。大量货币投放推高通胀预期，压低真实利率，黄金随后3个月上涨19%，开启长达两年的牛市。,883.9,1.709,0.18,-0.45,-0.46,797.87,47.94,19.1,3.4
Nov-10,QE2启动,structural,货币政策,美联储宣布额外购买6000亿国债。QE2叠加欧债危机，黄金在随后的2011年前三季度再涨约30%至历史高点。,1324.04,0.666,0.19,1.08,1.37,1180.55,84.25,12.5,0.1
Sep-12,QE3启动（无限量宽）,structural,货币政策,美联储宣布'无限期'每月购买400亿美元MBS，打破QE时间边界。但市场对持续QE已经price in（提前消化），此后金价反而见顶回落——说明市场更看重预期差而非政策本身。,1685.62,-0.713,0.14,1.95,6.34,1440.67,94.51,9.1,-3
Jan-22,央行购金加速（去美元化）,structural,市场结构,以中国、俄罗斯、土耳其为代表的非西方央行开始大规模增持黄金，背景是美国以美元武器化制裁俄罗斯。这是2022年后金价韧性强于预期的结构性原因——即使美联储激进加息，金价也未深跌。,1779.88,-0.686,0.08,7.56,1.48,4515.55,83.22,2,5.2
Jan-24,比特币现货ETF获批上市,structural,市场结构,比特币现货ETF获SEC批准，被部分市场人士视为黄金的竞争替代品。但实际数据显示，2024年黄金和比特币均创历史新高，说明两者服务于不同投资者群体，竞争效应有限。,2001.91,1.792,5.33,3.09,1.46,4845.65,74.15,10.6,11.3
Jun-04,美联储开始加息周期,policy,货币政策,美联储从1%开始加息，理论上应压制金价（持有黄金机会成本上升）。但实际上金价逆势上涨，原因是同期中国和印度黄金需求爆发式增长，新兴市场需求对冲了利率上升的压力。,394.38,2.146,1.03,,-0.28,1140.84,38.03,-7.6,6.1
Dec-08,美联储降息至零并启动QE,policy,货币政策,联邦基金利率降至0-0.25%，同时启动QE1。名义利率为零、通胀预期升温，真实利率大幅转负，黄金随后启动长达三年的大牛市，从约800美元涨至近1900美元。,742.4,2.17,0.16,-0.02,5.72,903.25,41.12,0.6,19.1
Dec-15,后危机时代首次加息,policy,货币政策,美联储七年来首次加息，结束零利率时代。加息预期在2013-2015年就已压制金价下跌约40%（从1900到1050）。正式加息反而是'利空出尽'，随后金价开始反弹。,1046.22,0.728,0.24,0.64,-0.63,2043.94,37.19,-4.8,15.5
Dec-18,本轮加息周期见顶,policy,货币政策,美联储将利率加至2.25-2.5%后暂停。市场意识到经济无法承受更高利率，提前开始交易降息预期，金价随即走强，2019年上涨约18%。,1221.22,1.016,2.27,2,2.09,2506.85,49.52,3.4,4.9
Jul-19,美联储首次降息（预防性）,policy,货币政策,美联储以'贸易摩擦不确定性'为由降息25bp，金价在此前3个月已上涨9%（market已price in降息预期）。降息正式落地后继续上涨，说明市场预期后续还有更多降息。,1381.84,0.306,2.4,1.83,5.76,2980.38,57.35,9.1,5.6
Mar-20,美联储紧急降息至零+无限QE,policy,货币政策,疫情期间美联储单月两次紧急降息，利率重回零，同时宣布无限量QE。TIPS真实利率跌至-1%以下，这直接驱动黄金在随后5个月上涨超40%至历史新高2089美元。,1451.5,-0.117,0.65,1.49,-6.2,2584.59,29.21,-0.2,15.1
Mar-22,美联储开始激进加息,policy,货币政策,面对8%以上的通胀，美联储开启40年来最激进的加息周期，15个月内加息500bp。真实利率从-1%飙升至+2%以上，按理金价应大跌，但实际只下跌约15%后企稳——央行购金托住了底部。,1890.03,-0.719,0.2,8.57,5.68,4530.41,108.5,7.8,-4.6
Jul-23,美联储利率到顶（5.25%）,policy,货币政策,联邦基金利率到达本轮峰值5.25-5.5%。黄金在见顶前后均表现平稳，因为市场已提前交易'降息预期'——政策信号的市场价值在于预期而非落地。,1902.68,1.603,5.12,3.29,0.51,4588.96,76.07,-2.4,-4.9
Sep-24,美联储开始降息,policy,货币政策,美联储首次降息50bp，开启新降息周期。黄金在降息预期升温的2024年全年大涨约27%，再创历史新高突破2700美元，并在2025年继续加速上涨。,2471.95,1.616,5.13,2.43,4.55,5762.48,70.24,8.1,4.5
