"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2026-5-1","4,571.99","4,626.45","4,660.62","4,526.34","","-1.09%"
"2026-4-1","4,622.59","4,672.02","4,889.70","4,509.96","","-1.06%"
"2026-3-1","4,672.01","5,376.69","5,419.25","4,098.87","","-11.48%"
"2026-2-1","5,277.90","4,799.72","5,279.56","4,404.12","","8.48%"
"2026-1-1","4,865.35","4,333.00","5,595.46","4,310.01","","12.75%"
"2025-12-1","4,315.09","4,223.93","4,550.50","4,163.01","","2.00%"
"2025-11-1","4,230.63","4,002.28","4,245.20","3,928.66","","5.71%"
"2025-10-1","4,002.28","3,858.84","4,381.60","3,819.51","","3.73%"
"2025-9-1","3,858.51","3,448.00","3,871.87","3,436.80","","11.91%"
"2025-8-1","3,448.00","3,290.83","3,454.08","3,281.55","","4.79%"
"2025-7-1","3,290.32","3,302.87","3,439.09","3,268.15","","-0.40%"
"2025-6-1","3,303.69","3,289.80","3,451.62","3,247.86","","0.43%"
"2025-5-1","3,289.40","3,288.55","3,438.59","3,120.52","","0.02%"
"2025-4-1","3,288.59","3,123.36","3,500.33","2,956.60","","5.29%"
"2025-3-1","3,123.35","2,856.71","3,128.29","2,855.63","","9.26%"
"2025-2-1","2,858.77","2,801.40","2,956.37","2,771.69","","2.06%"
"2025-1-1","2,801.18","2,626.61","2,817.57","2,614.60","","6.76%"
"2024-12-1","2,623.81","2,653.82","2,726.31","2,583.49","","-1.12%"
"2024-11-1","2,653.55","2,742.50","2,762.30","2,536.90","","-3.29%"
"2024-10-1","2,743.80","2,635.41","2,790.41","2,604.15","","4.15%"
"2024-9-1","2,634.49","2,502.74","2,685.96","2,471.95","","5.25%"
"2024-8-1","2,503.03","2,448.10","2,532.05","2,364.40","","2.24%"
"2024-7-1","2,448.10","2,326.46","2,483.78","2,318.55","","5.26%"
"2024-6-1","2,325.71","2,329.61","2,387.85","2,286.77","","-0.05%"
"2024-5-1","2,326.97","2,285.91","2,450.13","2,277.47","","1.81%"
"2024-4-1","2,285.57","2,239.59","2,431.53","2,228.54","","2.38%"
"2024-3-1","2,232.38","2,043.44","2,235.90","2,038.55","","9.26%"
"2024-2-1","2,043.24","2,037.59","2,065.42","1,984.30","","0.30%"
"2024-1-1","2,037.19","2,062.90","2,079.02","2,001.91","","-1.23%"
"2023-12-1","2,062.59","2,034.49","2,135.90","1,973.09","","1.32%"
"2023-11-1","2,035.75","1,983.01","2,052.09","1,931.73","","2.68%"
"2023-10-1","1,982.70","1,848.13","2,009.48","1,810.10","","7.27%"
"2023-9-1","1,848.31","1,940.19","1,953.44","1,846.34","","-4.71%"
"2023-8-1","1,939.74","1,965.10","1,966.24","1,884.35","","-1.24%"
"2023-7-1","1,964.19","1,919.40","1,987.59","1,902.68","","2.32%"
"2023-6-1","1,919.57","1,962.80","1,983.52","1,893.01","","-2.18%"
"2023-5-1","1,962.30","1,991.34","2,073.29","1,932.08","","-1.37%"
"2023-4-1","1,989.65","1,970.84","2,048.84","1,949.82","","1.11%"
"2023-3-1","1,967.90","1,827.24","2,010.19","1,809.40","","7.70%"
"2023-2-1","1,827.15","1,927.92","1,959.77","1,804.65","","-5.22%"
"2023-1-1","1,927.88","1,823.85","1,949.27","1,823.85","","5.67%"
"2022-12-1","1,824.40","1,768.54","1,833.39","1,765.32","","3.16%"
"2022-11-1","1,768.45","1,633.40","1,786.68","1,616.18","","8.29%"
"2022-10-1","1,633.12","1,661.30","1,729.73","1,617.21","","-1.60%"
"2022-9-1","1,659.67","1,711.09","1,735.37","1,614.35","","-2.98%"
"2022-8-1","1,710.70","1,765.05","1,807.90","1,709.10","","-3.09%"
"2022-7-1","1,765.22","1,807.31","1,814.36","1,680.78","","-2.31%"
"2022-6-1","1,806.89","1,837.37","1,877.38","1,802.20","","-1.64%"
"2022-5-1","1,837.09","1,896.09","1,910.03","1,786.95","","-3.13%"
"2022-4-1","1,896.40","1,937.51","1,998.60","1,872.19","","-2.11%"
"2022-3-1","1,937.23","1,908.19","2,070.29","1,890.03","","1.54%"
"2022-2-1","1,907.90","1,796.72","1,974.48","1,788.39","","6.20%"
